Article,T-5 Summary
"(CNN)Seventy years ago, Anne Frank died of typhus in a Nazi concentration camp at the age of 15. Just two weeks after her supposed death on March 31, 1945, the Bergen-Belsen concentration camp where she had been imprisoned was liberated -- timing that showed how close the Jewish diarist had been to surviving the Holocaust. But new research released by the Anne Frank House shows that Anne and her older sister, Margot Frank, died at least a month earlier than previously thought. Researchers re-examined archives of the Red Cross, the International Training Service and the Bergen-Belsen Memorial, along with testimonies of survivors. They concluded that Anne and Margot probably did not survive to March 1945 -- contradicting the date of death which had previously been determined by Dutch authorities. In 1944, Anne and seven others hiding in the Amsterdam secret annex were arrested and sent to the  Auschwitz-Birkenau concentration camp. Anne Frank's final entry . That same year, Anne and Margot were separated from their mother and sent away to work as slave labor at the Bergen-Belsen camp in Germany. Days at the camp were filled with terror and dread, witnesses said. The sisters stayed in a section of the overcrowded camp with no lighting, little water and no latrine. They slept on lice-ridden straw and violent storms shredded the tents, according to the researchers. Like the other prisoners, the sisters endured long hours at roll call. Her classmate, Nannette Blitz, recalled seeing Anne there in December 1944: ""She was no more than a skeleton by then. She was wrapped in a blanket; she couldn't bear to wear her clothes anymore because they were crawling with lice."" Listen to Anne Frank's friends describe her concentration camp experience . As the Russians advanced further, the Bergen-Belsen concentration camp became even more crowded, bringing more disease. A deadly typhus outbreak caused thousands to die each day. Typhus is an infectious disease caused by lice that breaks out in places with poor hygiene. The disease causes high fever, chills and skin eruptions. ""Because of the lice infesting the bedstraw and her clothes, Anne was exposed to the main carrier of epidemic typhus for an extended period,"" museum researchers wrote. They concluded that it's unlikely the sisters survived until March, because witnesses at the camp said the sisters both had symptoms before February 7. ""Most deaths caused by typhus occur around twelve days after the first symptoms appear,"" wrote  authors Erika Prins and Gertjan Broek. The exact dates of death for Anne and Margot remain unclear. Margot died before Anne. ""Anne never gave up hope,"" said Blitz, her friend. ""She was absolutely convinced she would survive."" Her diary endures as one of the world's most popular books. Read more about Anne Frank's cousin, a keeper of her legacy .","typhus is an infectious disease caused by lice that breaks out in places with poor hygiene . the disease causes high fever, chills and skin eruptions . researchers re-examine archives of the red cross, the international training service and the Bergen-Belsen Memorial ."
"(CNN)A year ago Bloomberg published a story with the following headline: Mike Pence, a Koch Favorite, Mulls 2016 Run for President. The story ticked off items on Pence's conservative things-to-do list while also noting his close ties to the deep-pocketed Koch brothers, as well as other right-wing lobbying groups. Last August the Indiana governor was in Dallas for an Americans for Prosperity event; the group is backed by the conservative Koch brothers, and supported Gov. Pence's tax-slashing budget. Now, Pence is drawing huge heat for his controversial decision to sign a religious freedom law last week that opens the door to discrimination against gays and lesbians.  Why would Pence ignore the pleas of Indiana's Chamber of Commerce as well as the Republican mayor of his state capital and sign such a bill? Because there's a very powerful wing of his party that wants a conservative as its 2016 candidate and this bill was Pence's way of shoring up his street cred. It is also the reason why Republican Jeb Bush, Pence's fellow White House hopeful, who is viewed as a little light in that category, was first to rush in to defend Pence and the law. One lesson here: Just because more than 70% of the country now lives in states where same-sex marriage is legal does not mean 70% of the country is happy about it. Backlash aside, the fact is Pence has scored a lot of points this week among ultraconservatives. And while that may not be enough to get him over this political hump, the very public debate that now embroils him — and Arkansas Gov.  Asa Hutchinson, and likely 14 other states considering similar proposals this year -- is more than enough to drag the entire Republican field farther to the right than the party had hoped. Pence: 'Was I expecting this kind of backlash? Heavens no.' For there is no way a Republican can get through the pending primary without denouncing LGBT rights, which unfortunately will turn numerous Americans into single-issue voters. I foolishly hoped the issue of LGBT rights would be a bit player in the 2016 general election, overshadowed by foreign policy and the economy. Instead it looks like it's going to be dragged down to a replay of Pat Buchanan's ""cultural war"" speech, during which he told the 1992 Republican National Convention: ""We stand with (George H.W. Bush) against the amoral idea that gay and lesbian couples should have the same standing in law as married men and women"" and later followed with ""There is a religious war going on in this country. It is a cultural war, as critical to the kind of nation we shall be as the Cold War itself. For this war is for the soul of America."" Progressives may enjoy watching Pence's temporary fall from grace, but his policy rhetoric has echoed that of 2016 hopeful Sen. Ted Cruz of Texas, who has indicated a federal ban on same-sex marriage is not off the GOP table. And even if you think neither Pence nor Bush nor Cruz will win the nomination, someone has to. In light of that, listen to conservative former Arkansas Gov. Mike Huckabee, a potential 2016 candidate describing  conservatives' discomfort with same-sex marriage: ""It's like asking someone who's Jewish to start serving bacon-wrapped shrimp in their deli."" Or Louisiana Gov. Bobby Jindal: ""I certainly will support Ted Cruz and others that are talking about making ... a constitutional amendment to allow states to continue to define marriage."" Or Wisconsin Gov. Scott Walker, who has a long history of fighting against same-sex marriage and civil unions. And Ben Carson said jail turns people gay, so there's that. Remember: Pence didn't act alone. He only signed a bill that first passed muster with other elected officials. In fact, according to the American Civil Liberties Union, ""the Indiana RFRA [Religious Freedom Restoration Act] is one of 24 introduced in 15 states this year that could allow someone to use their religious beliefs to discriminate. Numerous other bills specifically single out the LGBT community for unequal treatment."" Who supports, denounces Indiana law? Gallup Polls may suggest voters nationwide are more gay-friendly, but the trend on the state level tells a different story. Perhaps we're witnessing the final gasp of long-ago biases. Or maybe those biases are having a rebirth we had underestimated. Former Rep. Barney Frank of Massachusetts, the first member of Congress to marry someone of the same sex while in office, said he believes Republicans want the Supreme Court to rule in favor of same-sex marriage to provide political cover in the GOP primary. ""We're winning,"" he told a crowd in Chicago recently while promoting his latest book. I guess if you look at where the country was on LGBT issues 10 years ago, we definitely are. That's assuming you are part of the ""we"" who believe LGBT people should have the same rights as their heterosexual/cisgender counterparts. But as the situation in Indiana has shown, ""winning"" should not be mistaken for having ""won."" For it is doubtful that a candidate will be able to avoid taking a position on the wave of so-called ""religious freedom"" bills snaking through red-state legislatures. Or to sidestep the topic of a constitutional amendment when it's raised in a debate or at a campaign stop, especially with Republicans controlling both the House and the Senate. Pence, and to a lesser extent, Jeb Bush, may be toxic now but America has a short attention span. More importantly, they are not alone. Frank said when progressives get angry they march in the streets, and when conservatives get mad they march to the polls. If that holds true in 2016, ""winning"" is going to feel very strange.","a year ago, the story ticked off items on Pence's conservative things-to-do list . he also noted his close ties to the deep-pocketed Koch brothers and other right-wing lobbying groups . now, he's drawing huge heat for his controversial decision to sign a religious freedom law ."
"(CNN)If you're famous and performing the American national anthem, be prepared to become a national hero or a national disgrace. Facts are facts.  Just ask Vince, Whitney, Roseanne, Jimi and Michael. Mötley Crüe's Vince Neil reminded us again this week of the dangers of tackling ""The Star-Spangled Banner."" Sure, he can shred it on ""Girls, Girls, Girls"" and ""Dr. Feelgood,"" but this is a different story -- a completely different story. To say Neil butchered the song before the Las Vegas Outlaws Arena Football League game would be unkind to those in the profession.  There's less carnage when butchers are done with their work. The late Whitney Houston set the modern standard for the national anthem at Super Bowl XXV.  In the early stages of the Gulf War in 1991, a patriotic America saluted her performance. Just six months earlier, comedian Roseanne Barr may have established the low-water mark. The crowd at the San Diego Padres game booed her rendition and President George H. W. Bush called it ""disgraceful."" There's nothing quite like getting the presidential thumbs down. One of the most controversial and beloved versions of ""The Star-Spangled Banner"" comes from 1969. Guitar slinger Jimi Hendrix inflamed mainstream America with his psychedelic take on the national anthem to the delight of the Woodstock generation. And then there's Michael Bolton's version.  Overly wrought songs are his specialty and he doesn't disappoint in that department when he sings at the American League Championship Series in 2003.  Bolton belts it out, but there's one little problem -- the words.  Can anyone say crib notes?","""the Star-Spangled Banner"" is a national anthem . it's a different story -- a completely different story . there's less carnage when butchers are done with their work . one of the most controversial and beloved versions comes from 1969 ."
"(CNN)As goes Walmart, so goes the nation? Everyone from Apple CEO Tim Cook to the head of the NCAA slammed religious freedom laws being considered in several states this week, warning that they would open the door to discrimination against gay and lesbian customers. But it was the opposition from Walmart, the ubiquitous retailer that dots the American landscape, that perhaps resonated most deeply, providing the latest evidence of growing support for gay rights in the heartland. Walmart's staunch criticism of a religious freedom law in its home state of Arkansas came after the company said in February it would boost pay for about 500,000 workers well above the federal minimum wage. Taken together, the company is emerging as a bellwether for shifting public opinion on hot-button political issues that divide conservatives and liberals. And some prominent Republicans are urging the party to take notice. Former Minnesota Gov. Tim Pawlenty, who famously called on the GOP to ""be the party of Sam's Club, not just the country club,"" told CNN that Walmart's actions ""foreshadow where the Republican Party will need to move."" ""The Republican Party will have to better stand for"" ideas on helping the middle class, said Pawlenty, the head of the Financial Services Roundtable, a Washington lobbying group for the finance industry. The party's leaders must be ""willing to put forward ideas that will help modest income workers, such as a reasonable increase in the minimum wage, and prohibit discrimination in things such as jobs, housing, public accommodation against gays and lesbians."" Walmart, which employs more than 50,000 people in Arkansas, emerged victorious on Wednesday. Hours after the company's CEO, Doug McMillon, called on Republican Gov. Asa Hutchinson to veto the bill, the governor held a news conference and announced he would not sign the legislation unless its language was fixed. Walmart's opposition to the religious freedom law once again puts the company at odds with many in the Republican Party, which the company's political action committee has tended to support. In 2004, the Walmart PAC gave around $2 million to Republicans versus less than $500,000 to Democrats, according to data from the Center for Responsive Politics. That gap has grown less pronounced in recent years. In 2014, the PAC spent about $1.3 million to support Republicans and around $970,000 for Democrats. It has been a gradual transformation for Walmart. In 2011, the company bulked up its nondiscrimination policies by adding protections for gender identity. Two years later, the company announced that it would start offering health insurance benefits to same-sex partners of employees starting in 2014. Retail experts say Walmart's evolution on these issues over the years is partly a reflection of its diverse consumer base, as well as a recognition of the country's increasingly progressive views of gay equality (support for same-sex marriage is at a new high of 59%, according to a recent Wall Street Journal/NBC News poll). ""It's easy for someone like a Chick-fil-A to take a really polarizing position,"" said Dwight Hill, a partner at the retail consulting firm McMillanDoolittle. ""But in the world of the largest retailer in the world, that's very different."" Hill added: Same-sex marriage, ""while divisive, it's becoming more common place here within the U.S., and the businesses by definition have to follow the trend of their customer."" The backlash over the religious freedom measures in Indiana and Arkansas this week is shining a bright light on the broader business community's overwhelming support for workplace policies that promote gay equality. After Indiana Gov. Mike Pence, a Republican, signed his state's religious freedom bill into law, CEOs of companies big and small across the country threatened to pull out of the Hoosier state. The resistance came from business leaders of all political persuasions, including Bill Oesterle, CEO of the business-rating website Angie's List and a one-time campaign manager for former Indiana Gov. Mitch Daniels. Oesterle announced that his company would put plans on hold to expand its footprint in Indianapolis in light of the state's passage of the religious freedom act. NASCAR, scheduled to hold a race in Indianapolis this summer, also spoke out against the Indiana law. ""What we're seeing over the past week is a tremendous amount of support from the business community who are standing up and are sending that equality is good for business and discrimination is bad for business,"" said Jason Rahlan, spokesman for the Human Rights Campaign. The debate has reached presidential politics. National Republicans are being forced to walk the fine line of protecting religious liberties and supporting nondiscrimination. Likely GOP presidential candidate Jeb Bush initially backed Indiana's religious freedom law and Pence, but moderated his tone a few days later. The former Florida governor said Wednesday that Indiana could have taken a ""better"" and ""more consensus-oriented approach."" ""By the end of the week, Indiana will be in the right place,"" Bush said, a reference to Pence's promise this week to fix his state's law in light of the widespread backlash. Others in the GOP field are digging in. Sen. Ted Cruz of Texas, the only officially declared Republican presidential candidate, said Wednesday that he had no interest in second-guessing Pence and lashed out at the business community for opposing the law. ""I think it is unfortunate that large companies today are listening to the extreme left wing agenda that is driven by an aggressive gay marriage agenda,"" Cruz said. Meanwhile, former Secretary of State Hillary Clinton, who previously served on Walmart's board of directors, called on Hutchinson to veto the Arkansas bill, saying it would ""permit unfair discrimination"" against the LGBT community. Jay Chesshir, CEO of the Little Rock Regional Chamber of Commerce in Arkansas, welcomed Hutchinson's pledge on Wednesday to seek changes to his state's bill. He said businesses are not afraid to wade into a politically controversial debate to ensure inclusive workplace policies. ""When it comes to culture and quality of life, businesses are extremely interested in engaging in debate simply because it impacts its more precious resource -- and that's its people,"" Chesshir said. ""Therefore, when issues arise that have negative or positive impact on those things, then the business community will again speak and speak loudly.""","some prominent Republicans are urging the party to take notice . the company's opposition to the religious freedom law puts the company at odds with many in the Republican Party . in 2004, the PAC gave around $2 million to Republicans versus less than $500,000 to Democrats ."
"(CNN)On May 28, 2014, some 7,000 people gathered in a stadium in China's northwestern Xinjiang region. But they had not come to watch the local football team or any other grand sporting event. Instead, the authorities paraded scores of prisoners dressed in orange jumpsuits. Armed soldiers guarded the exits. In the patently unfair, open air trial that followed, 55 people were found guilty of a range of offenses linked to violent attacks in the region and jailed. Three were sentenced to death. The public mass sentencing was part a China's ""Strike Hard"" campaign against unrest in Xinjiang, a campaign the government claims was launched to combat ""terrorism"" and ""separatism."" But it was also indicative of a trend that was starkly evident last year around the world -- governments using the death penalty in a misguided, and often cynical, attempt to tackle crime and terrorism. Today, Amnesty International releases its annual review of the death penalty worldwide.  Much of it makes for grim reading. In Pakistan, the government lifted a six-year moratorium on the execution of civilians in the wake of the horrific Taliban attack on a school in Peshawar in December. More than 60 people have been put to death since, and the government has threatened to send thousands more death row prisoners to the gallows.  Iran and Iraq executed people for ""terrorism,"" and other countries expanded the scope of capital crimes in their penal codes. In a year when abhorrent summary executions by armed groups were branded on the global consciousness as never before, governments are themselves resorting to more executions in a knee-jerk reaction to terrorism. Other countries made use of executions in similarly flawed attempts to address -- or appear to address -- crime rates. Jordan ended an eight-year moratorium in December, putting 11 murder convicts to death, with the government saying it was a move to end a surge in violent crime.  In Indonesia, authorities announced plans to execute mainly drug traffickers to tackle a public safety ""national emergency."" Six people have already been executed this year. A sharp spike in death sentences recorded in 2014 -- up more than 500 on the previous year -- can also be attributed to governments using the death penalty as a political tool.  The rise was largely because of developments in Egypt and Nigeria, where courts imposed hundreds of death sentences in the context of internal political instability or crime and armed conflict. The simple fact is that governments using the death penalty to tackle crime and security threats are deceiving themselves or the public or both. There is no evidence that the threat of execution is more of a deterrent to crime than a prison sentence, as United Nations and other studies have repeatedly confirmed. It is high time that world leaders stop using the death penalty as an easy way out when times get tough. At Amnesty International, we have campaigned for an end to the death penalty for decades. Thankfully, most of the world now appears to agree with us. The numbers speak for themselves. In 1945 when the United Nations was founded, only eight countries had abolished the death penalty. Today, 140 states are abolitionist in law or practice. Last year, we recorded executions in 22 countries, down by almost a half from 20 years ago. Despite the troubling developments we recorded last year, there was still much good news to be found. The number of executions recorded around the world dropped significantly in 2014 compared with the previous year, from 778 to 607. This number does not include China, where more people are put to death than the rest of the world put together, but with death penalty statistics treated as a state secret, the true figure is impossible to determine. Executions were recorded in only three countries in sub-Saharan Africa -- Equatorial Guinea, Somalia and Sudan -- and the number of people put to death went down by more than a quarter. The Americas continued to be execution-free, apart from the United States. Those governments that still execute need to realize that they are on the wrong side of history. They must join the vast majority of countries which have dropped the ultimate cruel punishment. Fighting for an end to the death penalty remains an uphill task, but all of us must try to make the world free of this punishment. With determination, I know that we can achieve this goal.","a sharp spike in death sentences recorded in 2014 can be attributed to governments using the death penalty as a political tool . in a year when abhorrent summary executions by armed groups were branded on the global consciousness as never before, governments are resorting to more executions . the government has threatened to send thousands more death row prisoners to the gallows in the wake of the horrific peshawar attack ."
"Marseille, France (CNN)The French prosecutor leading an investigation into the crash of Germanwings Flight 9525 insisted Wednesday that he was not aware of any video footage from on board the plane. Marseille prosecutor Brice Robin told CNN that ""so far no videos were used in the crash investigation."" He added, ""A person who has such a video needs to immediately give it to the investigators."" Robin's comments follow claims by two magazines, German daily Bild and French Paris Match, of a cell phone video showing the harrowing final seconds from on board Germanwings Flight 9525 as it crashed into the French Alps. All 150 on board were killed. Paris Match and Bild reported that the video was recovered from a phone at the wreckage site. The two publications described the supposed video, but did not post it on their websites. The publications said that they watched the video, which was found by a source close to the investigation. ""One can hear cries of 'My God' in several languages,"" Paris Match reported. ""Metallic banging can also be heard more than three times, perhaps of the pilot trying to open the cockpit door with a heavy object.  Towards the end, after a heavy shake, stronger than the others, the screaming intensifies. Then nothing."" ""It is a very disturbing scene,"" said Julian Reichelt, editor-in-chief of Bild online. An official with France's accident investigation agency, the BEA, said the agency is not aware of any such video. Lt. Col. Jean-Marc Menichini, a French Gendarmerie spokesman in charge of communications on rescue efforts around the Germanwings crash site, told CNN that the reports were ""completely wrong"" and ""unwarranted."" Cell phones have been collected at the site, he said, but that they ""hadn't been exploited yet."" Menichini said he believed the cell phones would need to be sent to the Criminal Research Institute in Rosny sous-Bois, near Paris, in order to be analyzed by specialized technicians working hand-in-hand with investigators. But none of the cell phones found so far have been sent to the institute, Menichini said. Asked whether staff involved in the search could have leaked a memory card to the media, Menichini answered with a categorical ""no."" Reichelt told ""Erin Burnett: Outfront"" that he had watched the video and stood by the report, saying Bild and Paris Match are ""very confident"" that the clip is real. He noted that investigators only revealed they'd recovered cell phones from the crash site after Bild and Paris Match published their reports. ""That is something we did not know before. ... Overall we can say many things of the investigation weren't revealed by the investigation at the beginning,"" he said. What was mental state of Germanwings co-pilot? German airline Lufthansa confirmed Tuesday that co-pilot Andreas Lubitz had battled depression years before he took the controls of Germanwings Flight 9525, which he's accused of deliberately crashing last week in the French Alps. Lubitz told his Lufthansa flight training school in 2009 that he had a ""previous episode of severe depression,"" the airline said Tuesday. Email correspondence between Lubitz and the school discovered in an internal investigation, Lufthansa said, included medical documents he submitted in connection with resuming his flight training. The announcement indicates that Lufthansa, the parent company of Germanwings, knew of Lubitz's battle with depression, allowed him to continue training and ultimately put him in the cockpit. Lufthansa, whose CEO Carsten Spohr previously said Lubitz was 100% fit to fly, described its statement Tuesday as a ""swift and seamless clarification"" and said it was sharing the information and documents -- including training and medical records -- with public prosecutors. Spohr traveled to the crash site Wednesday, where recovery teams have been working for the past week to recover human remains and plane debris scattered across a steep mountainside. He saw the crisis center set up in Seyne-les-Alpes, laid a wreath in the village of Le Vernet, closer to the crash site, where grieving families have left flowers at a simple stone memorial. Menichini told CNN late Tuesday that no visible human remains were left at the site but recovery teams would keep searching. French President Francois Hollande, speaking Tuesday, said that it should be possible to identify all the victims using DNA analysis by the end of the week, sooner than authorities had previously suggested. In the meantime, the recovery of the victims' personal belongings will start Wednesday, Menichini said. Among those personal belongings could be more cell phones belonging to the 144 passengers and six crew on board. Check out the latest from our correspondents . The details about Lubitz's correspondence with the flight school during his training were among several developments as investigators continued to delve into what caused the crash and Lubitz's possible motive for downing the jet. A Lufthansa spokesperson told CNN on Tuesday that Lubitz had a valid medical certificate, had passed all his examinations and ""held all the licenses required."" Earlier, a spokesman for the prosecutor's office in Dusseldorf, Christoph Kumpa, said medical records reveal Lubitz suffered from suicidal tendencies at some point before his aviation career and underwent psychotherapy before he got his pilot's license. Kumpa emphasized there's no evidence suggesting Lubitz was suicidal or acting aggressively before the crash. Investigators are looking into whether Lubitz feared his medical condition would cause him to lose his pilot's license, a European government official briefed on the investigation told CNN on Tuesday. While flying was ""a big part of his life,"" the source said, it's only one theory being considered. Another source, a law enforcement official briefed on the investigation, also told CNN that authorities believe the primary motive for Lubitz to bring down the plane was that he feared he would not be allowed to fly because of his medical problems. Lubitz's girlfriend told investigators he had seen an eye doctor and a neuropsychologist, both of whom deemed him unfit to work recently and concluded he had psychological issues, the European government official said. But no matter what details emerge about his previous mental health struggles, there's more to the story, said Brian Russell, a forensic psychologist. ""Psychology can explain why somebody would turn rage inward on themselves about the fact that maybe they weren't going to keep doing their job and they're upset about that and so they're suicidal,"" he said. ""But there is no mental illness that explains why somebody then feels entitled to also take that rage and turn it outward on 149 other people who had nothing to do with the person's problems."" Germanwings crash compensation: What we know . Who was the captain of Germanwings Flight 9525? CNN's Margot Haddad reported from Marseille and Pamela Brown from Dusseldorf, while Laura Smith-Spark wrote from London. CNN's Frederik Pleitgen, Pamela Boykoff, Antonia Mortensen, Sandrine Amiel and Anna-Maja Rappard contributed to this report.","french prosecutor says he is not aware of any video from on board the plane . the video was recovered from a phone at the wreckage site . a french gendarmerie spokesman says the reports are ""completely wrong"""
"(CNN)The Rev. Robert H. Schuller, California televangelist and founder of the television ministry ""Hour of Power,"" died Thursday, according to his family. He was 88 years old. Schuller, also the founder of Crystal Cathedral megachurch, had been diagnosed with esophageal cancer in August 2013, a release from ""Hour of Power"" said. ""My father-in-law passed away peacefully early this morning. He was a great Dad and a great man of God,"" said Schuller's daughter-in-law, Donna Schuller, in a Twitter message. Schuller's life followed an almost Shakespearean arc. He was born in a Iowa farmhouse without running water and longed to preach from his earliest days. In his autobiography, ""Prayer: My Soul's Adventure with God,"" he described standing alone by a river and picturing himself delivering sermons to a rapt congregation. After attending a Hope College and Western Theological Seminary in Michigan, he met his wife of more than 60 years, Arvella, while preaching at her church (she was the organist). With their young family in tow, the Schullers caravanned west to California, where he rented a drive-in theater and preached from the roof of the snack bar. It was beneath the dignity of Christian ministry, some local pastors huffed. The ""passion pits"" where teenagers necked was no place for the gospel. Schuller was undeterred, and he quickly outgrew the drive-in. He called the explosive growth of his tiny congregation a ""miracle,"" though his many mainstream critics had other names for it. His confident, breezy version of Christianity -- too breezy, by some estimations -- drew hordes of seekers and lapsed Christians who were put off by the hellfire fulminations of many post-War American preachers. Schuller sold a softer, gentler message, which borrowed heavily, he acknowledged, from the father of the feel-good gospel, Norman Vincent Peale. He preached not to convert or condemn people, but to encourage them, a sentiment he called ""possibility thinking."" People loved it. ""Evangelicalism at its best wants to be innovative and reach people,"" said Timothy Larsen, a professor of Christian thought at Wheaton College in Illinois. ""And Schuller was a master at that."" ""What he got right is that the gospel is good news,"" Larsen continued. ""And he preached an uplifting message about personal transformation and uplift and hope."" Some of Schuller's favored phrases, though, struck others as cornpone Christianity. ""Turn your hurt into a halo?"" said Randall Balmer, a professor of American religious history at Dartmouth College, citing one such phrase. ""That's pretty weak tea."" Still, Balmer gives Schuller some credit. ""It may be bad theology, but it's brilliant marketing."" In 1970, Schuller began broadcasting ""Hour of Power,"" believed to be one of the first, if not the very first, Sunday service to be shown regularly on television. With his genial smile, priestly robes and gray hair, he looked and talked like a guy who wanted nothing more than to see his flock succeed. The show, which ran for decades, reached millions, making Schuller a televangelist before the term became tarnished by the sins of his many successors. Schuller's crowning achievement, at least architecturally, still stands in Orange County, California, though it is now owned by the Roman Catholic Church. The Crystal Cathedral, a great gleaming edifice with 10,000 glass panels, gave worshipers a look at the  clouds that house the heavens, while Schuller preached in the pulpit below. The message was clear to many: The road to the former ran through the latter. During the 1980s and 1990s, Schuller's star continued to rise, with presidents stopping by the Crystal Cathedral -- often during campaigns, it should be said -- and future megachurch pastors like Rick Warren and Bill Hybels seeking his advice. As Schuller aged, though, his family was beset by a succession scandal straight from the pages of ""King Lear.""  He tried to install his only son, Bobby Jr., as pastor of Crystal Cathedral. But the preaching styles of father and son were too different for the congregation -- measured at times at 10,000 strong -- to countenance. Bobby Schuller Jr. left ""Hour of Power"" and the pulpit at Crystal Cathedral after a short time. As the family searched for a new successor and tussled over finances, viewers and donations to the church and its television show dropped precipitously. Crystal Cathedral Ministries filed for bankruptcy in 2010, citing debts of more than $43 million, according to The Associated Press. Schuller's empire, which once soared as high as his glassy cathedral, had fallen to dust. Eventually, Schuller's grandson, also named Bobby, took over ""Hour of Power,"" though at a different church. In a statement on Thursday, the younger Schuller recalled standing atop Crystal Cathedral's 12-story Tower of Hope with his grandfather as they surveyed the surrounding landscape. ""You could see the whole world from there,"" he said. People we've lost in 2015 . CNN's Stella Chan reported from Los Angeles.","the rev. Robert H. Schuller was diagnosed with esophageal cancer in august 2013 . he was a televangelist and founder of the tv ministry ""Hour of Power"" his daughter-in-law, Donna Schuller, says he passed away peacefully ."
"(CNN)Michele Bachmann is comparing President Obama to the co-pilot of the doomed Germanwings flight. ""With his Iran deal, Barack Obama is for the 300 million souls of the United States what Andreas Lubitz was for the 150 souls on the German Wings flight - a deranged pilot flying his entire nation into the rocks,"" the Minnesota Republican and former representative wrote in a Facebook comment posted March 31. ""After the fact, among the smoldering remains of American cities, the shocked survivors will ask, why did he do it?"" Andreas Lubitz, the co-pilot of Germanwings Flight 9525, is accused by authorities of deliberately crashing the plane in the French Alps. He died in the crash along with 149 other crew and passengers. The motive of the March 24 crash is under investigation, though investigators are looking in to whether Lubitz feared a medical condition would cause him to lose his pilot's license. Many comments posted on her Facebook page blasted the former representative. Melissa Coca wrote, ""Comparing this tragedy to anything is moronic and despicable."" Michael J Pristash wrote, ""Your allusion is so inappropriate and divisive, not to mention disrespectful on so many levels. Shame on you."" Some also accused her of taking desperate measures to stay in the public eye. Lynda Anderson wrote, ""Posting outrageous things in a pathetic attempt to stay relevant?"" Negotiations are coming down to the wire between Iran, the United States and other nations on restricting Tehran's nuclear program to prevent the ability to develop an atomic bomb. One deadline passed Tuesday, but there is a June 30 deadline for a comprehensive deal -- with all technical and diplomatic impasses fully worked out. Bachmann is no stranger to voicing her opinion on the President's dealing with Iran, personally telling him to ""bomb Iran"" during the 2014 White House Christmas Party. ""I turned to the president and I said, something to the effect of, 'Mr. President, you need to bomb the Iranian nuclear facilities, because if you don't, Iran will have a nuclear weapon on your watch and the course of world history will change,'"" she told the Washington Free Beacon. The congresswoman, who sought the GOP presidential nomination in 2012, said Obama had a ""condescending smile on his face and laughed at me."" She said he told her: ""Well Michele, it's just not that easy.""","the motive of the crash is under investigation, though investigators are looking in to whether Lubitz feared a medical condition would cause him to lose his pilot's license . ""your allusion is so inappropriate and divisive, not to mention disrespectful on so many levels. Shame on you,"" she says ."
